customer_id,customer_name,region,customer_segment
C0136,Siddharth Mehta,Central,Individual
C0137,Anjali Malhotra,North,Individual
C0138,Anjali Mehta,South,Individual
C0139,Rohan Das,East,Enterprise
C0140,Meera Das,North,Enterprise
C0141,Dev Reddy,East,Individual
C0142,Dev Malhotra,Central,SMB
C0143,Aarav Rao,Central,SMB
C0144,Anjali Nair,North,Individual
C0145,Dev Reddy,Central,SMB
C0146,Karan Malhotra,North,Individual
C0147,Sneha Rao,East,Individual
C0148,Riya Reddy,East,Individual
C0149,Anjali Gupta,Central,Enterprise
C0150,Meera Nair,Central,Individual
C0151,Meera Verma,East,SMB
C0152,Meera Singh,East,SMB
C0153,Priya Malhotra,North,Individual
C0154,Ananya Iyer,West,SMB
C0155,Aarav Kumar,West,Individual
C0156,Dev Bose,Central,Individual
C0157,Priya Gupta,West,Individual
C0158,Priya Nair,Central,Individual
C0159,Dev Kumar,North,SMB
C0160,Aarav Patel,Central,Enterprise
C0161,Vikram Nair,South,Individual
C0162,Karan Sharma,West,SMB
C0163,Rahul Reddy,South,Enterprise
C0164,Anjali Malhotra,West,Individual
C0165,Anjali Gupta,East,Individual
C0166,Vikram Nair,West,SMB
C0167,Riya Rao,North,Individual
C0168,Dev Singh,North,Individual
C0169,Ananya Patel,South,Enterprise
C0170,Pooja Nair,East,Individual
C0171,Karan Patel,Central,Individual
C0172,Vikram Das,Central,SMB
C0173,Ananya Reddy,North,Individual
C0174,Vikram Das,West,SMB
C0175,Anjali Chopra,North,SMB
C0176,Priya Patel,South,SMB
C0177,Siddharth Patel,South,SMB
C0178,Nisha Reddy,South,Individual
C0179,Rahul Sharma,Central,Enterprise
C0180,Nisha Sharma,East,SMB
C0181,Nisha Kumar,Central,SMB
C0182,Dev Das,East,SMB
C0183,Rahul Reddy,North,Enterprise
C0184,Siddharth Iyer,North,Individual
C0185,Nisha Singh,South,Individual
C0186,Rahul Iyer,West,Enterprise
C0187,Pooja Gupta,North,Enterprise
C0188,Meera Nair,North,Enterprise
C0189,Aarav Kumar,East,SMB
C0190,Priya Sharma,East,Individual
C0191,Arjun Nair,West,Individual
C0192,Siddharth Verma,Central,Individual
C0193,Dev Sharma,South,Individual
C0194,Aarav Gupta,North,SMB
C0195,Siddharth Verma,East,Individual
C0196,Rohan Das,East,Individual
C0197,Riya Iyer,South,Individual
C0198,Siddharth Mehta,East,SMB
C0199,Dev Patel,South,SMB
C0200,Siddharth Chopra,South,SMB
C0201,Pooja Mehta,South,SMB
C0202,Pooja Das,North,Individual
C0203,Sneha Rao,West,Individual
C0204,Dev Patel,North,SMB
C0205,Priya Reddy,West,SMB
C0206,Rahul Nair,South,SMB
C0207,Pooja Chopra,East,SMB
C0208,Dev Joshi,East,SMB
C0209,Anjali Kumar,North,SMB
C0210,Sneha Das,North,SMB
C0211,Siddharth Verma,Central,Enterprise
C0212,Rahul Reddy,South,Individual
C0213,Siddharth Joshi,South,Individual
C0214,Sneha Reddy,West,SMB
C0215,Nisha Joshi,West,Individual
C0216,Siddharth Iyer,East,SMB
C0217,Meera Kumar,North,SMB
C0218,Rahul Singh,East,SMB
C0219,Siddharth Sharma,East,SMB
C0220,Vikram Das,North,SMB
C0221,Karan Gupta,North,SMB
C0222,Pooja Kumar,North,Individual
C0223,Dev Verma,West,SMB
C0224,Vikram Rao,West,Individual
C0225,Nisha Joshi,South,SMB
C0226,Aarav Kumar,West,Individual
C0227,Riya Kumar,West,Individual
C0228,Meera Gupta,North,Individual
C0229,Anjali Malhotra,West,Enterprise
C0230,Arjun Kumar,North,Enterprise
C0231,Vikram Kumar,West,Individual
C0232,Pooja Das,South,Individual
C0233,Arjun Patel,West,SMB
C0234,Riya Chopra,East,SMB
C0235,Rohan Reddy,East,SMB
C0236,Aarav Reddy,South,SMB
C0237,Nisha Verma,East,Enterprise
C0238,Anjali Gupta,East,SMB
C0239,Ananya Singh,West,Individual
C0240,Sneha Das,Central,Individual
C0241,Anjali Rao,South,SMB
C0242,Rohan Sharma,North,Individual
C0243,Pooja Kumar,Central,SMB
C0244,Anjali Bose,North,Individual
C0245,Nisha Singh,South,Individual
C0246,Vikram Bose,North,Individual
C0247,Priya Iyer,East,Individual
C0248,Sneha Nair,South,SMB
C0249,Karan Das,Central,Individual
C0250,Nisha Mehta,East,Individual
C0251,Meera Nair,East,SMB
C0252,Arjun Sharma,North,Individual
C0253,Meera Malhotra,East,Individual
C0254,Nisha Kumar,West,Enterprise
C0255,Meera Reddy,East,SMB
C0256,Dev Das,Central,Individual
C0257,Rohan Sharma,North,Individual
C0258,Riya Singh,North,Individual
C0259,Siddharth Joshi,East,Individual
C0260,Vikram Reddy,North,SMB
C0261,Sneha Rao,North,SMB
C0262,Siddharth Singh,East,Individual
C0263,Priya Mehta,South,Individual
C0264,Aarav Chopra,North,SMB
C0265,Rahul Joshi,North,SMB
C0266,Anjali Kumar,Central,SMB
C0267,Siddharth Iyer,East,Enterprise
C0268,Vikram Sharma,North,Individual
C0269,Aarav Singh,South,Enterprise
C0270,Dev Verma,East,Individual
C0271,Dev Das,West,SMB
C0272,Rahul Das,North,Enterprise
C0273,Dev Bose,East,Individual
C0274,Priya Sharma,West,SMB
C0275,Priya Joshi,South,SMB
C0276,Anjali Gupta,North,Enterprise
C0277,Dev Mehta,Central,SMB
C0278,Pooja Gupta,East,SMB
C0279,Rohan Mehta,North,Individual
C0280,Dev Verma,North,SMB
C0281,Nisha Mehta,West,Enterprise
C0282,Anjali Rao,West,Enterprise
C0283,Aarav Malhotra,North,Enterprise
C0284,Ananya Verma,West,Individual
C0285,Karan Chopra,South,Individual
C0286,Vikram Das,South,Individual
C0287,Rohan Nair,North,SMB
C0288,Rahul Chopra,North,Individual
C0289,Meera Patel,Central,Individual
C0290,Sneha Iyer,South,SMB
C0291,Rohan Mehta,South,Individual
C0292,Anjali Chopra,East,SMB
C0293,Meera Gupta,Central,Individual
C0294,Nisha Sharma,Central,SMB
C0295,Riya Mehta,West,SMB
C0296,Rahul Sharma,South,SMB
C0297,Dev Rao,South,Enterprise
C0298,Karan Das,Central,SMB
C0299,Dev Patel,South,Enterprise
C0300,Priya Chopra,North,Individual
C0301,Anjali Patel,East,Individual
C0302,Pooja Malhotra,North,Enterprise
C0303,Vikram Iyer,Central,Individual
C0304,Nisha Patel,East,Individual
C0305,Rohan Nair,Central,SMB
C0306,Meera Das,East,Enterprise
C0307,Meera Joshi,West,Enterprise
C0308,Sneha Gupta,North,SMB
C0309,Nisha Iyer,South,Individual
C0310,Rohan Verma,East,SMB
C0311,Siddharth Verma,Central,Individual
C0312,Aarav Nair,North,SMB
C0313,Rahul Singh,North,SMB
C0314,Dev Iyer,South,Individual
C0315,Vikram Rao,North,Individual
C0316,Arjun Bose,West,SMB
C0317,Rohan Gupta,West,Individual
C0318,Meera Gupta,South,Individual
C0319,Rahul Kumar,North,Individual
C0320,Dev Sharma,Central,SMB
C0321,Siddharth Malhotra,East,Individual
C0322,Nisha Reddy,West,Individual
C0323,Anjali Chopra,West,SMB
C0324,Arjun Malhotra,North,Individual
C0325,Dev Nair,North,Individual
C0326,Rohan Sharma,North,Individual
C0327,Pooja Mehta,North,Individual
C0328,Arjun Gupta,Central,Individual
C0329,Rohan Bose,East,Individual
C0330,Rohan Gupta,South,Individual
C0331,Aarav Das,East,SMB
C0332,Meera Bose,North,Individual
C0333,Nisha Nair,West,Enterprise
C0334,Siddharth Verma,East,Individual
C0335,Arjun Bose,East,Individual
C0336,Pooja Malhotra,North,Enterprise
C0337,Pooja Patel,North,Individual
C0338,Dev Patel,Central,Individual
C0339,Rohan Das,South,Individual
C0340,Dev Das,East,Individual
C0341,Nisha Malhotra,Central,Individual
C0342,Arjun Reddy,South,Individual
C0343,Riya Sharma,North,SMB
C0344,Riya Patel,South,SMB
C0345,Arjun Chopra,North,Individual
C0346,Arjun Reddy,South,Individual
C0347,Meera Iyer,Central,Individual
C0348,Karan Malhotra,South,Individual
C0349,Riya Verma,East,Individual
C0350,Arjun Mehta,Central,SMB
C0351,Sneha Bose,East,Individual
C0352,Dev Das,North,Enterprise
C0353,Pooja Rao,North,Individual
C0354,Anjali Kumar,North,Individual
C0355,Aarav Rao,Central,Individual
C0356,Dev Iyer,South,Individual
C0357,Riya Sharma,North,Individual
C0358,Anjali Bose,North,SMB
C0359,Arjun Singh,East,Enterprise
C0360,Arjun Verma,South,Enterprise
C0361,Arjun Gupta,Central,Individual
C0362,Arjun Reddy,West,Individual
C0363,Karan Patel,South,SMB
C0364,Nisha Iyer,West,SMB
C0365,Anjali Kumar,North,Individual
C0366,Vikram Bose,Central,SMB
C0367,Ananya Das,East,Individual
C0368,Nisha Verma,West,Individual
C0369,Dev Sharma,Central,Individual
C0370,Nisha Malhotra,Central,Individual
C0371,Arjun Bose,West,Individual
C0372,Pooja Singh,East,Individual
C0373,Rohan Kumar,Central,Individual
C0374,Rahul Reddy,West,Enterprise
C0375,Karan Kumar,West,Enterprise
C0376,Sneha Patel,West,SMB
C0377,Rohan Patel,South,Individual
C0378,Aarav Rao,East,SMB
C0379,Meera Chopra,East,Individual
C0380,Anjali Gupta,West,SMB
C0381,Ananya Patel,South,Individual
C0382,Riya Kumar,North,Individual
C0383,Ananya Singh,North,SMB
C0384,Aarav Malhotra,North,Individual
C0385,Aarav Joshi,East,Enterprise
C0386,Priya Das,Central,Individual
C0387,Sneha Iyer,North,Individual
C0388,Rohan Bose,North,SMB
C0389,Siddharth Chopra,West,Individual
C0390,Pooja Patel,South,Individual
C0391,Aarav Gupta,East,Enterprise
C0392,Rohan Bose,West,SMB
C0393,Priya Reddy,West,Individual
C0394,Karan Gupta,Central,Enterprise
C0395,Meera Bose,Central,SMB
C0396,Karan Singh,South,SMB
C0397,Rahul Iyer,South,Individual
C0398,Siddharth Patel,North,Enterprise
C0399,Arjun Verma,South,Individual
C0400,Ananya Iyer,Central,Enterprise
C0401,Aarav Bose,West,Individual
C0402,Riya Patel,West,Individual
C0403,Ananya Malhotra,North,Individual
C0404,Rahul Singh,West,SMB
C0405,Riya Mehta,North,Individual
C0406,Sneha Rao,North,SMB
C0407,Siddharth Joshi,East,SMB
C0408,Nisha Verma,South,SMB
C0409,Nisha Kumar,North,SMB
C0410,Riya Reddy,East,SMB
C0411,Dev Rao,Central,Individual
C0412,Nisha Iyer,East,Enterprise
C0413,Aarav Malhotra,Central,Enterprise
C0414,Ananya Joshi,East,Individual
C0415,Pooja Verma,North,SMB
C0416,Priya Sharma,North,SMB
C0417,Aarav Bose,North,SMB
C0418,Priya Joshi,East,Individual
C0419,Priya Reddy,North,Enterprise
C0420,Aarav Verma,East,Individual
C0421,Anjali Rao,Central,Enterprise
C0422,Ananya Rao,West,Individual
C0423,Priya Malhotra,West,SMB
C0424,Karan Reddy,North,Individual
C0425,Sneha Joshi,West,SMB
C0426,Rahul Reddy,East,Individual
C0427,Karan Patel,North,SMB
C0428,Dev Rao,Central,SMB
C0429,Rohan Das,South,Enterprise
C0430,Rohan Kumar,West,SMB
C0431,Priya Joshi,West,SMB
C0432,Ananya Verma,Central,Individual
C0433,Pooja Gupta,West,Enterprise
C0434,Siddharth Reddy,South,SMB
C0435,Riya Kumar,West,Individual
C0436,Sneha Kumar,South,SMB
C0437,Sneha Malhotra,North,Individual
C0438,Ananya Rao,South,Individual
C0439,Ananya Singh,Central,Individual
C0440,Anjali Mehta,South,Individual
C0441,Anjali Bose,North,Individual
C0442,Nisha Kumar,West,Enterprise
C0443,Nisha Singh,Central,Enterprise
C0444,Meera Das,Central,Enterprise
C0445,Vikram Joshi,East,SMB
C0446,Meera Bose,South,SMB
C0447,Arjun Singh,East,Enterprise
C0448,Karan Rao,Central,SMB
C0449,Vikram Kumar,South,Individual
C0450,Nisha Singh,Central,SMB
C0451,Karan Nair,North,Enterprise
C0452,Pooja Bose,South,Individual
C0453,Aarav Kumar,North,Individual
C0454,Aarav Rao,North,Enterprise
C0455,Arjun Iyer,West,Individual
C0456,Vikram Sharma,West,Individual
C0457,Meera Reddy,Central,SMB
C0458,Dev Singh,South,Enterprise
C0459,Siddharth Kumar,Central,Enterprise
C0460,Rohan Gupta,East,Individual
C0461,Vikram Sharma,East,Enterprise
C0462,Pooja Singh,Central,Individual
C0463,Karan Das,Central,Individual
C0464,Arjun Mehta,East,SMB
C0465,Priya Mehta,West,Enterprise
C0466,Ananya Das,South,Individual
C0467,Pooja Malhotra,West,Individual
C0468,Aarav Mehta,West,SMB
C0469,Vikram Reddy,North,Individual
C0470,Rohan Mehta,Central,Individual
C0471,Priya Patel,East,Individual
C0472,Nisha Sharma,North,Individual
C0473,Riya Singh,West,SMB
C0474,Ananya Das,South,Individual
C0475,Pooja Das,West,Individual
C0476,Anjali Reddy,Central,SMB
C0477,Ananya Bose,West,Individual
C0478,Arjun Iyer,Central,SMB
C0479,Riya Singh,West,Individual
C0480,Priya Bose,West,SMB
C0481,Karan Sharma,North,SMB
C0482,Arjun Kumar,South,SMB
C0483,Rohan Reddy,West,SMB
C0484,Arjun Sharma,North,SMB
C0485,Meera Joshi,North,Individual
C0486,Riya Das,East,SMB
C0487,Rahul Kumar,Central,SMB
C0488,Anjali Malhotra,North,SMB
C0489,Meera Kumar,South,Individual
C0490,Meera Singh,East,Individual
C0491,Anjali Das,West,Individual
C0492,Dev Kumar,North,Enterprise
C0493,Siddharth Kumar,Central,SMB
C0494,Karan Gupta,North,Individual
C0495,Anjali Gupta,North,SMB
C0496,Ananya Kumar,South,SMB
C0497,Siddharth Malhotra,East,SMB
C0498,Sneha Das,West,SMB
C0499,Sneha Nair,North,Enterprise
C0500,Siddharth Malhotra,North,SMB
